City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ulladulla,99,AU,1595628574,100,-35.35,150.47,45.0,2.24
Yulara,0,AU,1595628574,75,-25.24,130.99,41.0,10.29
Hilo,90,US,1595628279,69,19.73,-155.09,82.4,12.75
Diffa,13,NE,1595628574,46,13.32,12.61,87.76,4.63
Santa Cruz de la Sierra,75,BO,1595628465,82,-17.8,-63.17,59.0,4.7
Castro,0,BR,1595628543,75,-24.79,-50.01,59.29,4.36
Vostok,50,RU,1595628574,94,46.49,135.88,61.11,1.52
Gallup,75,US,1595628575,49,35.53,-108.74,73.4,10.29
Puerto Ayora,75,EC,1595628318,65,-0.74,-90.35,77.0,18.34
Bredasdorp,0,ZA,1595628575,87,-34.53,20.04,48.2,3.36
Rikitea,26,PF,1595628575,58,-23.12,-134.97,68.72,13.4
Los Llanos de Aridane,13,ES,1595628518,78,28.66,-17.92,71.6,17.22
Nikolskoye,20,RU,1595628517,81,59.7,30.79,54.0,6.71
Yellowknife,75,CA,1595628518,72,62.46,-114.35,59.0,6.93
Punta Arenas,20,CL,1595628240,74,-53.15,-70.92,37.4,11.41
Yantal',2,RU,1595628576,86,56.85,105.25,50.09,1.7
Carnarvon,0,AU,1595628515,81,-24.87,113.63,51.8,6.93
Oktyabr'skoye,30,RU,1595628576,73,43.06,44.74,69.8,4.47
Vaini,75,TO,1595628576,94,-21.2,-175.2,73.4,9.17
Elizabeth City,1,US,1595628577,66,36.29,-76.25,88.0,6.93
Borgarnes,20,IS,1595628578,61,64.54,-21.92,48.2,23.04
Bambous Virieux,75,MU,1595628498,56,-20.34,57.76,68.0,16.11
Réo,55,BF,1595628578,76,12.32,-2.47,79.48,4.9
Nome,90,US,1595628541,76,64.5,-165.41,57.0,4.7
Jamestown,75,US,1595628308,78,42.1,-79.24,79.0,8.05
Chokurdakh,24,RU,1595628499,53,70.63,147.92,73.15,7.07
Paris,51,FR,1595627753,60,48.85,2.35,72.0,2.24
Yako,100,BF,1595628579,78,12.97,-2.27,75.74,7.07
Tuktoyaktuk,75,CA,1595628520,67,69.45,-133.04,62.6,6.93
Arrondissement du Havre,90,FR,1595628579,82,49.58,0.33,64.4,6.93
Touros,20,BR,1595628554,78,-5.2,-35.46,77.0,6.93
West Wendover,1,US,1595628580,15,40.74,-114.07,89.6,8.05
Hermanus,0,ZA,1595628494,86,-34.42,19.23,48.99,2.37
South Venice,20,US,1595628580,70,27.05,-82.42,87.01,9.17
Opuwo,0,NA,1595628580,39,-18.06,13.84,54.82,7.2
Ketchikan,90,US,1595628580,77,55.34,-131.65,59.0,9.17
Avera,1,US,1595628502,44,33.19,-82.53,93.2,4.7
Ucluelet,20,CA,1595628496,68,48.93,-125.55,64.99,16.11
Ponta do Sol,0,PT,1595628523,61,32.67,-17.1,71.01,3.94
Marabba,86,SD,1595628580,59,12.35,32.18,83.3,17.76
Bilibino,5,RU,1595628501,55,68.05,166.44,75.9,6.4
Batemans Bay,99,AU,1595628549,97,-35.72,150.18,44.01,1.01
Hithadhoo,100,MV,1595628497,73,-0.6,73.08,81.09,5.32
Kungurtug,65,RU,1595628581,75,50.6,97.52,49.51,0.98
Ushuaia,90,AR,1595628371,94,-54.8,-68.3,32.0,16.11
Lebu,94,CL,1595628500,79,-37.62,-73.65,48.52,9.19
Salalah,75,OM,1595628581,94,17.02,54.09,78.8,8.05
Bandarbeyla,3,SO,1595628518,81,9.49,50.81,75.49,28.97
Port Blair,36,IN,1595628511,78,11.67,92.75,81.21,4.12
Avarua,83,CK,1595628493,53,-21.21,-159.78,77.0,6.93
Chui,100,UY,1595628530,90,-33.7,-53.46,47.98,6.44
Mar del Plata,75,AR,1595628330,75,-38.0,-57.56,43.0,20.8
Pisco,0,PE,1595628499,68,-13.7,-76.22,68.0,25.28
Cape Town,0,ZA,1595628501,50,-33.93,18.42,57.2,2.24
Kapaa,20,US,1595628507,74,22.08,-159.32,82.99,11.41
Engerwitzdorf,75,AT,1595628583,93,48.35,14.44,63.0,8.05
Tiznit Province,0,MA,1595628583,43,29.58,-9.5,77.68,2.13
Benghazi,0,LY,1595628584,83,32.12,20.07,77.56,9.93
Mataura,95,NZ,1595628492,88,-46.19,168.86,44.83,5.7
New Norfolk,100,AU,1595628500,84,-42.78,147.06,44.01,1.01
Rocha,100,UY,1595628584,90,-34.48,-54.33,46.42,6.6
Saint-Philippe,90,RE,1595628534,59,-21.36,55.77,66.2,11.41
Kangaatsiaq,99,GL,1595628526,89,68.31,-53.46,45.16,12.84
Kaeo,79,NZ,1595628584,3,-35.1,173.78,51.01,6.44
Oranjestad,20,AW,1595628495,66,12.52,-70.03,87.8,24.16
Albany,50,US,1595628498,45,42.6,-73.97,87.01,2.75
Nālūt,0,LY,1595628584,19,30.33,10.85,79.14,11.77
Hasaki,75,JP,1595628585,100,35.73,140.83,75.2,1.12
Port Alfred,0,ZA,1595628493,28,-33.59,26.89,67.82,8.93
Shetpe,10,KZ,1595628585,50,44.17,52.12,76.46,7.07
Sol'-Iletsk,96,RU,1595628585,83,51.16,54.99,62.92,5.97
Yerbogachën,74,RU,1595628585,91,61.28,108.01,52.05,8.66
Upernavik,58,GL,1595628505,79,72.79,-56.15,46.65,2.24
Fortuna,20,US,1595628244,72,40.6,-124.16,64.99,16.11
Hong Kong,100,HK,1595628281,79,22.29,114.16,84.0,5.99
Atuona,24,PF,1595628518,80,-9.8,-139.03,78.75,19.6
Muroto-misakicho,75,JP,1595628585,94,33.28,134.15,77.0,10.29
Dikson,88,RU,1595628492,97,73.51,80.55,42.67,11.99
Kaihua,92,CN,1595628586,93,23.37,104.28,67.08,4.5
Wawa,84,NG,1595628586,86,9.9,4.42,76.84,5.23
Baruun-Urt,32,MN,1595628560,84,46.68,113.28,64.54,5.5
Karratha,0,AU,1595628497,46,-20.74,116.85,65.71,12.35
Pevek,94,RU,1595628571,68,69.7,170.31,46.24,8.72
Takaka,3,NZ,1595628586,73,-40.85,172.8,48.99,1.99
Mokrous,0,RU,1595628586,65,51.23,47.52,60.42,7.02
Leningradskiy,99,RU,1595628532,68,69.38,178.42,47.07,12.73
Bethel,1,US,1595628295,57,41.37,-73.41,82.0,2.55
Butaritari,24,KI,1595628493,80,3.07,172.79,81.99,16.64
Corsicana,75,US,1595628586,59,32.1,-96.47,91.99,10.29
Saskylakh,100,RU,1595628529,88,71.92,114.08,45.34,9.13
Buraidah,40,SA,1595628587,30,26.33,43.98,98.6,3.36
Tasiilaq,81,GL,1595628587,81,65.61,-37.64,42.8,9.17
Matagami,40,CA,1595628587,36,49.75,-77.63,80.6,5.82
Mahanoro,19,MG,1595628587,82,-19.9,48.8,65.3,9.75
Kruisfontein,0,ZA,1595628506,26,-34.0,24.73,62.64,9.48
Soc Trang,100,VN,1595628361,88,9.6,105.98,75.36,3.04
Brae,75,GB,1595628560,82,60.4,-1.35,55.4,10.29
Lompoc,10,US,1595628451,64,34.64,-120.46,69.8,13.87
Christchurch,0,NZ,1595628472,100,-43.53,172.63,30.2,3.36
Kapit,100,MY,1595628547,95,2.02,112.93,73.62,2.21
Yar-Sale,5,RU,1595628513,86,66.83,70.83,50.92,8.46
Whyalla,0,AU,1595628588,100,-33.03,137.58,41.0,5.82
Bolshaya Dzhalga,91,RU,1595628588,38,45.97,42.7,72.09,9.42
Charlestown,0,AU,1595628400,96,-32.95,151.67,55.99,4.09
Airai,48,TL,1595628588,78,-8.93,125.41,51.91,3.2
Adrar,10,MR,1595628566,16,20.5,-10.07,98.8,4.09
East London,0,ZA,1595628513,28,-33.02,27.91,64.42,5.55
Provideniya,100,RU,1595628514,65,64.38,-173.3,50.36,6.06
Beloha,0,MG,1595628551,77,-25.17,45.05,59.29,11.21
Prosvet,5,RU,1595628588,78,55.57,65.08,53.35,6.76
Busselton,87,AU,1595628501,77,-33.65,115.33,44.01,14.74
Thompson,90,CA,1595628236,94,55.74,-97.86,69.8,4.7
Roald,0,NO,1595628589,87,62.58,6.13,51.8,13.87
Portland,90,US,1595628091,55,45.52,-122.68,70.0,6.93
Cap Malheureux,26,MU,1595628544,52,-19.98,57.61,68.0,5.99
Lethem,94,GY,1595628589,82,3.38,-59.8,79.93,3.24
Fort-Shevchenko,47,KZ,1595628589,67,44.51,50.26,80.44,7.94
Lālmohan,68,BD,1595628589,84,22.34,90.74,81.79,8.84
Tomatlán,87,MX,1595628589,67,19.93,-105.25,85.14,10.4
Hobart,100,AU,1595628384,81,-42.88,147.33,44.01,9.17
Staryy Nadym,16,RU,1595628590,81,65.61,72.68,48.06,10.02
Geraldton,0,AU,1595628515,70,-28.77,114.6,46.4,18.34
Namatanai,0,PG,1595628551,77,-3.67,152.43,81.97,8.39
Launceston,100,AU,1595628590,86,-41.45,147.17,39.0,4.7
Marsaxlokk,0,MT,1595628590,57,35.84,14.54,80.01,4.7
Ust-Tsilma,74,RU,1595628590,64,65.44,52.15,59.36,4.29
Bela Vista,19,BR,1595628590,45,-22.11,-56.52,78.93,5.03
Novovasylivka,0,UA,1595628590,54,46.83,35.75,67.06,5.55
Bluff,100,NZ,1595628590,82,-46.6,168.33,50.27,16.4
Torbay,90,CA,1595628315,100,47.67,-52.73,55.99,4.7
Marabá,58,BR,1595628591,40,-5.37,-49.12,89.6,4.7
George Town,20,MY,1595628485,94,5.41,100.34,77.0,4.7
Half Moon Bay,75,US,1595628450,87,37.46,-122.43,78.01,6.93
Camacha,40,PT,1595628562,82,33.08,-16.33,68.0,11.41
Quatre Cocos,75,MU,1595628591,56,-20.21,57.76,68.0,16.11
Mahébourg,75,MU,1595628514,56,-20.41,57.7,68.0,16.11
Kisesa,0,TZ,1595628591,47,-3.08,34.15,65.52,10.27
Marawi,66,PH,1595628563,95,8.0,124.29,73.0,4.0
Acapulco de Juárez,40,MX,1595628376,66,16.86,-99.89,87.8,8.05
Lewistown,75,US,1595628591,62,40.6,-77.57,84.99,0.81
Turukhansk,100,RU,1595628534,75,65.82,87.98,55.22,2.62
Bariloche,75,AR,1595628591,80,-41.15,-71.31,35.6,27.51
Barrow,90,US,1595628443,80,71.29,-156.79,35.6,16.11
Sherlovaya Gora,99,RU,1595628592,95,50.57,116.25,64.76,2.26
Karpathos,1,GR,1595628592,83,35.51,27.21,75.2,16.11
Tromsø,100,NO,1595628592,82,69.65,18.96,57.2,6.93
Jiuquan,0,CN,1595628592,45,39.74,98.52,64.85,5.06
Korem,94,ET,1595628592,77,12.51,39.52,60.51,5.01
Mehndāwal,75,IN,1595628592,100,26.98,83.11,80.6,5.82
Kalispell,75,US,1595628592,21,48.2,-114.31,80.6,13.87
Kremenchuk,13,UA,1595628593,72,49.1,33.42,62.22,6.51
Chaman,0,PK,1595628593,46,30.92,66.45,76.53,5.08
Richards Bay,0,ZA,1595628544,77,-28.78,32.04,61.47,9.01
Vondrozo,44,MG,1595628593,100,-22.82,47.28,50.54,2.64
Klaksvík,100,FO,1595628503,100,62.23,-6.59,50.0,10.29
Marsh Harbour,0,BS,1595628315,73,26.54,-77.06,83.44,15.01
Metro,27,ID,1595628593,93,-5.11,105.31,72.55,3.24
Atar,0,MR,1595628593,21,20.52,-13.05,100.04,9.19
Osa,100,RU,1595628544,92,57.28,55.46,59.14,7.16
Makaha,1,US,1595628593,58,21.47,-158.22,87.8,17.22
Awjilah,0,LY,1595628594,55,29.11,21.29,78.15,15.88
Gweta,0,BW,1595628594,63,-20.18,25.23,54.73,12.33
Coari,57,BR,1595628522,81,-4.08,-63.14,80.55,1.14
Meulaboh,91,ID,1595628564,89,4.14,96.13,75.78,4.07
Evans,1,US,1595628491,46,33.53,-82.13,93.2,3.36
Salym,60,RU,1595628594,65,60.06,71.48,54.55,4.74
Willowmore,0,ZA,1595628594,38,-33.29,23.49,51.3,5.03
Codrington,21,AU,1595628531,87,-38.27,141.97,40.6,4.56
Olenegorsk,34,RU,1595628594,89,68.15,33.3,54.03,7.54
Noumea,76,NC,1595628311,78,-22.28,166.46,73.0,1.12
Mount Gambier,54,AU,1595628493,93,-37.83,140.77,37.4,5.82
Fairbanks,90,US,1595628476,63,64.84,-147.72,64.4,9.17
Kutum,93,SD,1595628595,23,14.2,24.67,85.46,6.82
Nenzing,94,AT,1595628595,77,47.14,9.67,64.0,5.99
Samarai,31,PG,1595628511,86,-10.62,150.67,79.47,13.04
Marabu,40,MY,1595628595,100,4.41,114.01,75.2,6.93
Severo-Kuril'sk,100,RU,1595628524,82,50.68,156.12,50.92,6.87
São Félix do Xingu,88,BR,1595628595,54,-6.64,-51.99,79.81,1.79
Dunedin,89,NZ,1595628569,49,-45.87,170.5,52.0,1.99
Buchanan,75,LR,1595628595,94,5.88,-10.05,77.0,11.36
Visby,73,SE,1595628595,87,57.64,18.3,59.0,8.05
Qaryat Sulūq,0,LY,1595628531,86,31.67,20.25,73.0,9.46
Inhambane,23,MZ,1595628515,76,-23.86,35.38,66.2,11.41
Skjervøy,99,NO,1595628528,77,70.03,20.97,56.26,3.2
Baculin,100,PH,1595628596,76,7.45,126.58,78.46,4.41
Haldībāri,99,IN,1595628596,90,26.33,88.77,78.46,3.74
Nanortalik,100,GL,1595628542,90,60.14,-45.24,45.88,9.06
Aklavik,75,CA,1595628497,48,68.22,-135.01,66.2,3.36
Nongpoh,98,IN,1595628596,94,25.9,91.88,72.1,1.97
Saint Paul Harbor,90,US,1595628527,93,57.79,-152.41,55.4,5.82
Te Anau,99,NZ,1595628543,86,-45.42,167.72,44.11,5.39
Lumphat,93,KH,1595628596,97,13.49,106.98,71.78,0.43
Saint George,75,US,1595628502,26,37.1,-113.58,95.0,8.05
Trostberg,75,DE,1595628597,93,48.03,12.56,63.0,6.93
Hobbs,40,US,1595628597,28,32.7,-103.14,93.2,12.75
Kismayo,12,SO,1595628597,74,-0.36,42.55,76.48,21.92
Hualmay,34,PE,1595628597,74,-11.1,-77.61,64.62,13.69
Aranda de Duero,2,ES,1595628597,59,41.67,-3.69,67.14,6.02
Mwinilunga,0,ZM,1595628597,49,-11.74,24.43,50.86,4.43
Port Elizabeth,0,ZA,1595628514,66,-33.92,25.57,51.8,4.7
San Cristobal,40,VE,1595628570,46,7.77,-72.22,89.6,16.11
Mehrān,0,IR,1595628597,24,33.12,46.16,82.4,4.7
Florø,29,NO,1595628597,71,61.6,5.03,55.4,6.93
Arman',48,RU,1595628598,75,59.7,150.17,59.36,5.5
Shelburne,75,CA,1595628598,48,44.08,-80.2,82.4,6.93
Vila,0,PT,1595628598,73,42.03,-8.16,69.8,5.82
Tual,51,ID,1595628527,79,-5.67,132.75,79.54,21.3
Davila,20,PH,1595628598,94,18.47,120.58,75.2,3.36
Talnakh,1,RU,1595628519,81,69.49,88.4,48.2,15.66
Agadez,0,NE,1595628598,18,19.75,10.25,84.49,1.41
Ostrovnoy,25,RU,1595628526,90,68.05,39.51,58.28,9.48
Morondava,0,MG,1595628536,53,-20.28,44.28,69.94,14.36
Warka,7,PL,1595628598,76,51.78,21.19,66.99,1.99
Cikupa,20,ID,1595628599,78,-6.24,106.51,79.0,2.24
Norman Wells,20,CA,1595628528,40,65.28,-126.83,69.8,12.75
Kenai,90,US,1595628599,87,60.55,-151.26,55.4,8.1
Hofn,58,IS,1595628530,59,64.25,-15.21,51.26,8.68
Gujar Khan,75,PK,1595628599,79,33.26,73.3,84.2,10.29
Khatanga,99,RU,1595628525,90,71.97,102.5,40.87,12.24
Lagoa,0,PT,1595628527,77,39.05,-27.98,70.09,10.87
Narsaq,97,GL,1595628535,71,60.92,-46.05,55.4,9.17
Scarborough,100,GB,1595628599,83,54.28,-0.4,57.99,3.0
Buin,0,CL,1595628599,35,-33.73,-70.75,57.2,4.7
Deputatsky,96,RU,1595628501,35,69.3,139.9,73.22,1.36
Puerto Gaitán,66,CO,1595628391,71,4.31,-72.08,84.47,4.92
Maniitsoq,100,GL,1595628600,92,65.42,-52.9,46.99,6.11
Kendari,56,ID,1595628600,92,-3.94,122.5,71.29,3.56
Behshahr,40,IR,1595628600,94,36.69,53.55,77.0,2.24
Hoquiam,90,US,1595628600,72,46.98,-123.89,64.99,18.34
St. George's,20,GD,1595628600,79,12.06,-61.75,84.2,4.7
Ridgecrest,20,US,1595628600,10,35.62,-117.67,98.01,8.12
Lüderitz,0,NA,1595628536,22,-26.65,15.16,69.8,9.17
Korla,0,CN,1595628601,69,41.76,86.15,81.0,1.99
Arraial do Cabo,0,BR,1595628536,73,-22.97,-42.03,73.4,13.87
Vao,93,NC,1595628506,81,-22.67,167.48,71.19,19.82
Pacifica,20,US,1595628450,59,37.61,-122.49,69.01,17.22
Hobyo,78,SO,1595628601,75,5.35,48.53,77.22,26.49
Labuhan,100,ID,1595628527,81,-6.88,112.21,72.99,10.63
Bengkulu,95,ID,1595628502,89,-3.8,102.27,74.32,4.21
São Domingos,35,BR,1595628601,40,-13.4,-46.32,73.08,6.89
Cherëmukhovo,88,RU,1595628601,82,60.35,59.99,50.52,4.83
Breytovo,0,RU,1595628602,85,58.3,37.86,50.88,6.49
Kirensk,0,RU,1595628602,92,57.79,108.11,52.16,3.0
Auki,20,SB,1595628515,74,-8.77,160.7,83.35,7.23
Khorixas,0,NA,1595628602,33,-20.37,14.97,59.54,9.17
Goderich,2,CA,1595628602,76,43.75,-81.72,75.0,13.31
Trelew,58,AR,1595628297,61,-43.25,-65.31,42.71,17.29
Hambantota,87,LK,1595628365,94,6.12,81.12,75.2,4.7
Butler,20,US,1595628603,45,39.45,-84.57,88.0,8.05
Kassala,100,SD,1595628603,56,15.45,36.4,82.85,15.86
Assiut,0,EG,1595628603,40,27.18,31.18,87.8,5.82
Muti,40,PH,1595628603,94,7.28,122.28,75.2,2.24
Greenlaw,99,GB,1595628603,79,55.71,-2.46,57.0,1.01
Balkanabat,0,TM,1595628604,33,39.51,54.37,88.65,5.93
Nouadhibou,0,MR,1595628545,83,20.93,-17.03,71.6,13.87
Mirador,95,BR,1595628604,45,-6.37,-44.36,77.81,2.13
Gari,25,RU,1595628604,81,59.43,62.35,52.07,3.44
Mae Chan,20,TH,1595628604,100,20.15,99.85,77.0,0.81
Trairi,1,BR,1595628514,77,-3.28,-39.27,77.68,11.63
Honningsvåg,7,NO,1595628604,93,70.98,25.97,55.4,4.7
Qaanaaq,0,GL,1595628509,52,77.48,-69.36,49.42,2.95
Oddur,6,SO,1595628605,65,4.12,43.89,70.92,22.39
Shaowu,100,CN,1595628605,88,27.34,117.48,76.8,0.89
Ubari,0,LY,1595628605,20,26.59,12.78,78.73,3.78
Skoghall,0,SE,1595628605,93,59.32,13.47,53.01,2.24
Buala,68,SB,1595628605,76,-8.14,159.59,83.84,10.92
Bairiki Village,40,KI,1595628605,70,1.33,172.98,84.2,6.93
São Filipe,31,CV,1595628537,80,14.9,-24.5,77.05,3.96
Port Hardy,40,CA,1595628518,63,50.7,-127.42,64.4,12.75
São João da Barra,0,BR,1595628273,78,-21.64,-41.05,73.4,11.41
Carmelo,19,UY,1595628606,53,-33.99,-58.29,50.0,13.87
Alofi,75,NU,1595628554,78,-19.06,-169.92,77.0,17.22
Kodinsk,0,RU,1595628561,93,58.69,99.18,48.22,3.2
Arrondissement de Saint-Denis,50,FR,1595628606,60,48.92,2.33,71.01,2.24
Cayenne,97,GF,1595628559,70,4.93,-52.33,84.2,8.05
Muscat,2,OM,1595628606,66,23.61,58.59,89.6,3.36
